Episode 109, Last State: [11. 10. 11.], Reward: 935.1072844817393
Episode 110, Last State: [15. 17. 15.], Reward: 1155.089260890893
Episode 111, Last State: [3. 2. 3.], Reward: 298.8074242110348
Episode 112, Last State: [2. 5. 5.], Reward: 485.20546810293206
Episode 113, Last State: [1. 2. 3.], Reward: 297.902803815884
Episode 114, Last State: [3. 6. 2.], Reward: 195.40042085398613
Episode 115, Last State: [ 5. 10.  7.], Reward: 636.1702639363222
Episode 116, Last State: [3. 6. 6.], Reward: 570.8299624740029
Episode 117, Last State: [4. 6. 5.], Reward: 475.56607749716557
Episode 118, Last State: [2. 2. 3.], Reward: 300.7862813250167
Episode 119, Last State: [1. 3. 3.], Reward: 295.9239467018764
Episode 120, Last State: [4. 3. 4.], Reward: 390.5979401451093
Episode 121, Last State: [16. 19. 16.], Reward: 1200.2485343474004
Episode 122, Last State: [3. 5. 7.], Reward: 717.8808137251395
Episode 123, Last State: [5. 7. 7.], Reward: 648.4720512094689
Episode 124, Last State: [18. 36. 31.], Reward: 1212.1278251582876
Episode 125, Last State: [12. 20. 19.], Reward: 1428.336070166846
Episode 126, Last State: [1. 7. 8.], Reward: 580.767561956249
Episode 127, Last State: [1. 7. 7.], Reward: 524.6084571229296
Episode 128, Last State: [11. 22. 26.], Reward: 1434.0626113601907
Episode 129, Last State: [ 65.  54. 100.], Reward: 530.1172923627712
Episode 130, Last State: [49. 35. 74.], Reward: 776.9732748396182
Episode 131, Last State: [64. 52. 77.], Reward: 599.4297579128408
Episode 132, Last State: [ 91.  72. 100.], Reward: 380.31591120497797
Episode 133, Last State: [91. 48. 99.], Reward: 484.60053989618234
Episode 134, Last State: [100.  66. 100.], Reward: 382.6888784782425
Episode 135, Last State: [100.  64. 100.], Reward: 390.3424426147096
Episode 136, Last State: [100.  57. 100.], Reward: 419.6481231935635
